movieId,imdbId,tmdbId,original_title
1,114709,862.0,Toy Story
2,113497,8844.0,Jumanji
3,113228,15602.0,Grumpier Old Men
4,114885,31357.0,Waiting to Exhale
5,113041,11862.0,Father of the Bride Part II
6,113277,949.0,Heat
7,114319,11860.0,Sabrina
8,112302,45325.0,Tom and Huck
9,114576,9091.0,Sudden Death
10,113189,710.0,GoldenEye
11,112346,9087.0,The American President
12,112896,12110.0,Dracula: Dead and Loving It
13,112453,21032.0,Balto
14,113987,10858.0,Nixon
15,112760,1408.0,Cutthroat Island
16,112641,524.0,Casino
17,114388,4584.0,Sense and Sensibility
18,113101,5.0,Four Rooms
19,112281,9273.0,Ace Ventura: When Nature Calls
20,113845,11517.0,Money Train
21,113161,8012.0,Get Shorty
22,112722,1710.0,Copycat
23,112401,9691.0,Assassins
24,114168,12665.0,Powder
25,113627,451.0,Leaving Las Vegas
26,114057,16420.0,Othello
27,114011,9263.0,Now and Then
28,114117,17015.0,Persuasion
29,112682,902.0,La Cité des Enfants Perdus
30,115012,37557.0,摇啊摇，摇到外婆桥
31,112792,9909.0,Dangerous Minds
32,114746,63.0,Twelve Monkeys
34,112431,9598.0,Babe
35,112637,47018.0,Carrington
36,112818,687.0,Dead Man Walking
37,112286,139405.0,Across the Sea of Time
38,113442,33689.0,It Takes Two
39,112697,9603.0,Clueless
40,112749,34615.0,"Cry, the Beloved Country"
41,114279,31174.0,Richard III
42,112819,11443.0,Dead Presidents
43,114272,35196.0,Restoration
44,113855,9312.0,Mortal Kombat
45,114681,577.0,To Die For
46,113347,11861.0,How To Make An American Quilt
47,114369,807.0,Se7en
48,114148,10530.0,Pocahontas
49,114916,8391.0,When Night Is Falling
50,114814,629.0,The Usual Suspects
52,113819,11448.0,Mighty Aphrodite
53,110299,49133.0,Lamerica
54,112499,26441.0,The Big Green
55,113158,97406.0,Georgia
57,113321,9089.0,Home for the Holidays
58,110877,11010.0,Il postino
59,112714,99040.0,Le confessionnal
60,113419,11359.0,The Indian in the Cupboard
61,116260,17182.0,Eye for an Eye
62,113862,2054.0,Mr. Holland's Opus
63,116126,10607.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,118002,19760.0,Two If by Sea
65,115683,9536.0,Bio-Dome
66,116839,11525.0,Lawnmower Man 2: Beyond Cyberspace
68,113149,4482.0,Gazon maudit
69,113118,10634.0,Friday
70,116367,755.0,From Dusk Till Dawn
71,113010,11859.0,Fair Game
72,113537,28387.0,Kicking and Screaming
73,113828,48750.0,Les misérables
74,115644,20927.0,Bed of Roses
76,114367,9102.0,Screamers
77,113973,124626.0,Nico Icon
78,112744,27526.0,The Crossing Guard
79,116731,9623.0,The Juror
80,112445,46785.0,بادکنک سفید
81,114660,400.0,Things to Do in Denver When You're Dead
82,112379,880.0,Antonia
83,114039,146599.0,Once Upon a Time... When We Were Colored
84,113612,188588.0,Last Summer in the Hamptons
85,112365,8447.0,Angels and Insects
86,118158,10534.0,White Squall
87,116151,17414.0,Dunston Checks In
88,115697,13997.0,Black Sheep
89,113972,2086.0,Nick of Time
92,117002,9095.0,Mary Reilly
93,114825,12158.0,Vampire in Brooklyn
94,115639,9283.0,Beautiful Girls
95,115759,9208.0,Broken Arrow
96,113403,40154.0,A Midwinter's Tale
97,113247,406.0,La Haine
98,111173,45549.0,Shopping
99,113283,63076.0,Heidi Fleiss: Hollywood Madam
100,115907,11062.0,City Hall
101,115734,13685.0,Bottle Rocket
102,117102,47475.0,Mr. Wrong
103,118040,2045.0,Unforgettable
104,116483,9614.0,Happy Gilmore
105,112579,688.0,The Bridges of Madison County
107,117110,10874.0,Muppet Treasure Island
108,112646,89333.0,Catwalk
110,112573,197.0,Braveheart
111,75314,103.0,Taxi Driver
112,113326,33542.0,紅番區
113,115645,43566.0,Before and After
114,113774,71754.0,Margaret's Museum
116,112373,51352.0,Anne Frank Remembered
117,115033,16934.0,The Young Poisoner's Handbook
118,116606,10324.0,If Lucy Fell
119,114536,78406.0,Steal Big Steal Little
121,106473,32119.0,The Boys of St. Vincent
122,103859,11066.0,Boomerang
123,109424,11104.0,重慶森林
124,114808,37975.0,L'uomo delle stelle
125,116324,2074.0,Flirting with Disaster
126,110647,27793.0,The NeverEnding Story III
129,114131,110972.0,Pie in the Sky
130,112364,32622.0,Angela
131,113107,73067.0,Frankie Starlight
132,113451,11863.0,Jade
135,116130,9101.0,Down Periscope
137,113756,5757.0,Man of the Year
140,118055,9302.0,Up Close & Personal
141,115685,11000.0,The Birdcage
144,112585,16388.0,The Brothers McMullen
145,112442,9737.0,Bad Boys
146,112342,30765.0,The Amazing Panda Adventure
147,112461,10474.0,The Basketball Diaries
148,112427,22279.0,An Awfully Big Adventure
149,109093,30157.0,Amateur
150,112384,568.0,Apollo 13
151,114287,11780.0,Rob Roy
152,112288,34996.0,The Addiction
153,112462,414.0,Batman Forever
154,61395,649.0,Belle de jour
155,112495,1873.0,Beyond Rangoon
156,112541,5894.0,Blue in the Face
157,109370,1775.0,Canadian Bacon
158,112642,8839.0,Casper
159,112688,20649.0,Clockers
160,112715,10329.0,Congo
161,112740,8963.0,Crimson Tide
162,109508,26564.0,Crumb
163,112851,8068.0,Desperado
164,112857,8512.0,Devil in a Blue Dress
165,112864,1572.0,Die Hard: With a Vengeance
166,112887,13552.0,The Doom Generation
167,113044,259209.0,Feast of July
168,113071,6520.0,First Knight
169,113114,9073.0,Free Willy 2 - The Adventure Home
170,113243,10428.0,Hackers
171,113464,17447.0,Jeffrey
172,113481,9886.0,Johnny Mnemonic
173,113492,9482.0,Judge Dredd
174,113500,19326.0,Jury Duty
175,113540,9344.0,Kids
176,113677,9071.0,Living in Oblivion
177,113690,8973.0,Lord of Illusions
178,107447,15730.0,Love & Human Remains
179,113729,47608.0,Mad Love
180,113749,2293.0,Mallrats
181,113820,9070.0,Mighty Morphin Power Rangers: The Movie
183,110604,48787.0,Mute Witness
184,110620,34574.0,Nadja
185,113957,1642.0,The Net
186,113986,11472.0,Nine Months
187,114095,36196.0,Party Girl
188,114194,11980.0,The Prophecy
189,114241,58372.0,Reckless
190,114323,32646.0,Safe
191,114345,10533.0,The Scarlet Letter
193,114436,10802.0,Showgirls
194,114478,10149.0,Smoke
195,114496,18402.0,Something to Talk About
196,114508,9348.0,Species
198,114558,281.0,Strange Days
199,58450,5967.0,Les parapluies de Cherbourg
200,114666,79593.0,The Tie That Binds
201,114663,47939.0,Three Wishes
202,114702,36834.0,Total Eclipse
